"","year","country","rank","total_points"
"193",1998,"France",9,59
"194",2002,"France",2,789
"195",2006,"France",3,882
"196",2010,"France",9,1141
"197",2014,"France",16,952
"198",2018,"France",11,1207
"199",2022,"France",3,1753
"200",1994,"Germany",3,59
"201",1998,"Germany",3,63
"202",2002,"Germany",7,725
"203",2006,"Germany",12,795
"204",2010,"Germany",4,1319
"205",2014,"Germany",2,1418
"206",2018,"Germany",4,1509
"207",2022,"Germany",13,1614
"208",1994,"Ghana",33,41
"209",1998,"Ghana",37,47
"210",2002,"Ghana",54,536
"211",2006,"Ghana",64,574
"212",2010,"Ghana",28,817
"213",2014,"Ghana",28,786
"214",2018,"Ghana",42,802
"215",2022,"Ghana",52,1421
"216",1994,"Greece",33,41
"217",1998,"Greece",39,46
"218",2002,"Greece",43,567
"219",2006,"Greece",25,695
"220",2010,"Greece",14,993
"221",2014,"Greece",13,1005
"222",2018,"Greece",41,805
"223",2022,"Greece",52,1418
"224",1994,"Haiti",134,6
"225",1998,"Haiti",125,17
"226",2002,"Haiti",91,430
"227",2006,"Haiti",92,454
"228",2010,"Haiti",101,328
"229",2014,"Haiti",79,438
"230",2018,"Haiti",79,570
"231",2022,"Haiti",88,1272
"232",1994,"Honduras",46,35
"233",1998,"Honduras",62,38
"234",2002,"Honduras",51,545
"235",2006,"Honduras",48,581
"236",2010,"Honduras",47,633
"237",2014,"Honduras",51,591
"238",2018,"Honduras",75,575
"239",2022,"Honduras",68,1353
"240",1994,"Hungary",51,33
"241",1998,"Hungary",67,36
"242",2002,"Hungary",54,537
"243",2006,"Hungary",67,529
"244",2010,"Hungary",53,580
"245",2014,"Hungary",39,671
"246",2018,"Hungary",38,848
"247",2022,"Hungary",44,1448
"248",1994,"Iceland",44,36
"249",1998,"Iceland",61,38
"250",2002,"Iceland",52,540
"251",2006,"Iceland",80,485
"252",2010,"Iceland",92,359
"253",2014,"Iceland",86,429
"254",2018,"Iceland",27,939
"255",2022,"Iceland",49,1430
"256",1994,"Iran",61,28
"257",1998,"Iran",70,35
"258",2002,"Iran",41,578
"259",2006,"Iran",27,666
"260",2010,"Iran",50,600
"261",2014,"Iran",49,595
"262",2018,"Iran",35,842
"263",2022,"Iran",26,1520
"264",1994,"Iraq",70,25
"265",1998,"Iraq",97,26
"266",2002,"Iraq",80,460
"267",2006,"Iraq",56,548
"268",2010,"Iraq",82,404
"269",2014,"Iraq",93,372
"270",2018,"Iraq",97,473
"271",2022,"Iraq",72,1338
"272",1994,"Ireland",40,37
"273",1998,"Ireland",69,36
"274",2002,"Ireland",88,440
"275",2006,"Ireland",103,438
"276",2010,"Ireland",39,706
"277",2014,"Ireland",86,412
"278",2018,"Ireland",31,888
"279",2022,"Ireland",44,1447
"280",1994,"Israel",56,31
"281",1998,"Israel",47,42
"282",2002,"Israel",39,582
"283",2006,"Israel",48,594
"284",2010,"Israel",28,806
"285",2014,"Israel",57,563
"286",2018,"Israel",71,626
"287",2022,"Israel",85,1286
"288",1994,"Italy",5,58
"289",1998,"Italy",7,60
"290",2002,"Italy",7,723
"291",2006,"Italy",10,830
"292",2010,"Italy",4,1315
"293",2014,"Italy",8,1099
"294",2018,"Italy",15,1125
"295",2022,"Italy",10,1649
"296",1994,"Ivory Coast",27,44
"297",1998,"Ivory Coast",37,46
"298",2002,"Ivory Coast",47,554
"299",2006,"Ivory Coast",49,616
"300",2010,"Ivory Coast",26,826
"301",2014,"Ivory Coast",18,913
"302",2018,"Ivory Coast",43,817
"303",2022,"Ivory Coast",58,1398
"304",1994,"Jamaica",80,21
"305",1998,"Jamaica",48,42
"306",2002,"Jamaica",48,552
"307",2006,"Jamaica",49,573
"308",2010,"Jamaica",81,414
"309",2014,"Jamaica",64,512
"310",2018,"Jamaica",62,652
"311",2022,"Jamaica",53,1417
"312",1994,"Japan",44,35
"313",1998,"Japan",24,51
"314",2002,"Japan",40,580
"315",2006,"Japan",24,671
"316",2010,"Japan",37,720
"317",2014,"Japan",31,758
"318",2018,"Japan",52,720
"319",2022,"Japan",27,1516
"320",1994,"Kuwait",64,28
"321",1998,"Kuwait",60,38
"322",2002,"Kuwait",69,495
"323",2006,"Kuwait",68,519
"324",2010,"Kuwait",107,306
"325",2014,"Kuwait",105,318
"326",2018,"Kuwait",153,279
"327",2022,"Kuwait",148,1053
"328",1994,"Mexico",16,51
"329",1998,"Mexico",10,58
"330",2002,"Mexico",10,703
"331",2006,"Mexico",8,766
"332",2010,"Mexico",21,892
"333",2014,"Mexico",20,893
"334",2018,"Mexico",18,1054
"335",2022,"Mexico",12,1625
"336",1994,"Morocco",31,42
"337",1998,"Morocco",24,51
"338",2002,"Morocco",29,617
"339",2006,"Morocco",35,643
"340",2010,"Morocco",53,589
"341",2014,"Morocco",72,472
"342",2018,"Morocco",61,669
"343",2022,"Morocco",35,1491
"344",1994,"Netherlands",7,57
"345",1998,"Netherlands",10,59
"346",2002,"Netherlands",11,696
"347",2006,"Netherlands",5,831
"348",2010,"Netherlands",5,1325
"349",2014,"Netherlands",6,1285
"350",2018,"Netherlands",18,1067
"351",2022,"Netherlands",12,1621
"352",1994,"New Zealand",84,19
"353",1998,"New Zealand",115,20
"354",2002,"New Zealand",90,434
"355",2006,"New Zealand",95,435
"356",2010,"New Zealand",93,363
"357",2014,"New Zealand",95,374
"358",2018,"New Zealand",126,367
"359",2022,"New Zealand",116,1161
"360",1994,"Nigeria",13,53
"361",1998,"Nigeria",51,42
"362",2002,"Nigeria",50,550
"363",2006,"Nigeria",22,736
"364",2010,"Nigeria",28,807
"365",2014,"Nigeria",43,639
"366",2018,"Nigeria",51,732
"367",2022,"Nigeria",34,1483
"368",1994,"Norway",6,57
"369",1998,"Norway",12,57
"370",2002,"Norway",17,674
"371",2006,"Norway",36,629
"372",2010,"Norway",35,752
"373",2014,"Norway",34,739
"374",2018,"Norway",63,642
"375",2022,"Norway",43,1453
"376",1994,"Panama",131,7
"377",1998,"Panama",123,18
"378",2002,"Panama",124,309
"379",2006,"Panama",101,437
"380",2010,"Panama",70,467
"381",2014,"Panama",48,608
"382",2018,"Panama",59,684
"383",2022,"Panama",73,1336
"384",1994,"Paraguay",67,26
"385",1998,"Paraguay",46,43
"386",2002,"Paraguay",16,668
"387",2006,"Paraguay",26,683
"388",2010,"Paraguay",24,842
"389",2014,"Paraguay",39,684
"390",2018,"Paraguay",44,769
"391",2022,"Paraguay",40,1462
"392",1994,"Peru",72,24
"393",1998,"Peru",56,40
"394",2002,"Peru",49,548
"395",2006,"Peru",70,530
"396",2010,"Peru",66,492
"397",2014,"Peru",41,662
"398",2018,"Peru",30,937
"399",2022,"Peru",22,1540
"400",1994,"Poland",27,44
"401",1998,"Poland",44,44
"402",2002,"Poland",33,603
"403",2006,"Poland",27,680
"404",2010,"Poland",38,732
"405",2014,"Poland",65,509
"406",2018,"Poland",20,1067
"407",2022,"Poland",22,1547
"408",1994,"Portugal",22,47
"409",1998,"Portugal",23,52
"410",2002,"Portugal",10,704
"411",2006,"Portugal",12,789
"412",2010,"Portugal",9,1129
"413",2014,"Portugal",7,1137
"414",2018,"Portugal",6,1314
"415",2022,"Portugal",7,1654
"416",1994,"Romania",12,54
"417",1998,"Romania",12,57
"418",2002,"Romania",13,689
"419",2006,"Romania",27,685
"420",2010,"Romania",24,886
"421",2014,"Romania",40,679
"422",2018,"Romania",28,948
"423",2022,"Romania",40,1464
"424",1994,"Russia",14,53
"425",1998,"Russia",14,57
"426",2002,"Russia",23,633
"427",2006,"Russia",30,666
"428",2010,"Russia",15,984
"429",2014,"Russia",16,954
"430",2018,"Russia",46,783
"431",2022,"Russia",38,1471
"432",1994,"Saudi Arabia",36,39
"433",1998,"Saudi Arabia",35,47
"434",2002,"Saudi Arabia",38,585
"435",2006,"Saudi Arabia",37,618
"436",2010,"Saudi Arabia",59,533
"437",2014,"Saudi Arabia",95,364
"438",2018,"Saudi Arabia",69,616
"439",2022,"Saudi Arabia",62,1379
"440",1994,"Scotland",29,43
"441",1998,"Scotland",31,48
"442",2002,"Scotland",34,597
"443",2006,"Scotland",62,568
"444",2010,"Scotland",28,824
"445",2014,"Scotland",49,610
"446",2018,"Scotland",44,781
"447",2022,"Scotland",46,1441
"448",1994,"Senegal",56,31
"449",1998,"Senegal",65,37
"450",2002,"Senegal",71,494
"451",2006,"Senegal",32,658
"452",2010,"Senegal",60,544
"453",2014,"Senegal",62,526
"454",2018,"Senegal",33,859
"455",2022,"Senegal",20,1557
"456",2006,"Serbia",35,732
"457",2010,"Serbia",25,841
"458",2014,"Serbia",32,737
"459",2018,"Serbia",44,772
"460",2022,"Serbia",28,1509
"461",2002,"Serbia and Montenegro",19,678
"462",2006,"Serbia and Montenegro",41,612
"463",1994,"Slovakia",64,29
"464",1998,"Slovakia",33,47
"465",2002,"Slovakia",32,602
"466",2006,"Slovakia",50,589
"467",2010,"Slovakia",43,673
"468",2014,"Slovakia",42,659
"469",2018,"Slovakia",24,957
"470",2022,"Slovakia",37,1471
"471",1994,"Slovenia",106,13
"472",1998,"Slovenia",80,32
"473",2002,"Slovenia",43,570
"474",2006,"Slovenia",48,581
"475",2010,"Slovenia",58,570
"476",2014,"Slovenia",34,728
"477",2018,"Slovenia",57,693
"478",2022,"Slovenia",64,1372
"479",1994,"South Africa",86,18
"480",1998,"South Africa",33,48
"481",2002,"South Africa",27,621
"482",2006,"South Africa",43,595
"483",2010,"South Africa",71,457
"484",2014,"South Africa",61,530
"485",2018,"South Africa",69,617
"486",2022,"South Africa",71,1341
"487",1994,"South Korea",38,38
"488",1998,"South Korea",36,46
"489",2002,"South Korea",38,585
"490",2006,"South Korea",27,658
"491",2010,"South Korea",47,620
"492",2014,"South Korea",42,657
"493",2018,"South Korea",52,715
"494",2022,"South Korea",36,1481
"495",1994,"Spain",7,56
"496",1998,"Spain",8,60
"497",2002,"Spain",6,737
"498",2006,"Spain",5,830
"499",2010,"Spain",3,1520
"500",2014,"Spain",2,1543
"501",2018,"Spain",8,1257
"502",2022,"Spain",7,1657
"503",1994,"Sweden",6,57
"504",1998,"Sweden",16,56
"505",2002,"Sweden",18,658
"506",2006,"Sweden",17,723
"507",2010,"Sweden",30,799
"508",2014,"Sweden",24,822
"509",2018,"Sweden",31,883
"510",2022,"Sweden",18,1573
"511",1994,"Switzerland",9,55
"512",1998,"Switzerland",45,45
"513",2002,"Switzerland",57,528
"514",2006,"Switzerland",39,654
"515",2010,"Switzerland",28,808
"516",2014,"Switzerland",16,978
"517",2018,"Switzerland",11,1186
"518",2022,"Switzerland",13,1614
"519",1994,"Togo",110,12
"520",1998,"Togo",83,30
"521",2002,"Togo",79,469
"522",2006,"Togo",78,513
"523",2010,"Togo",75,437
"524",2014,"Togo",88,396
"525",2018,"Togo",104,448
"526",2022,"Togo",127,1124
"527",1994,"Trinidad and Tobago",87,18
"528",1998,"Trinidad and Tobago",54,40
"529",2002,"Trinidad and Tobago",41,571
"530",2006,"Trinidad and Tobago",61,543
"531",2010,"Trinidad and Tobago",80,414
"532",2014,"Trinidad and Tobago",80,433
"533",2018,"Trinidad and Tobago",73,594
"534",2022,"Trinidad and Tobago",102,1210
"535",1994,"Tunisia",32,42
"536",1998,"Tunisia",24,51
"537",2002,"Tunisia",29,613
"538",2006,"Tunisia",35,652
"539",2010,"Tunisia",49,613
