"","Year","home_team","away_team","home_score","away_score","outcome","home_foreign","home_rank","home_points","away_foreign","away_rank","away_points"
"384",2018,"Sweden","South Korea",1,0,"w",6,31,883,0,52,715
"385",2018,"Sweden","Switzerland",1,0,"w",6,31,883,15,11,1186
"386",2018,"Sweden","England",0,2,"l",6,31,883,10,12,1163
"387",1994,"Switzerland","Colombia",0,2,"l",4,9,55,0,19,50
"388",2006,"Switzerland","Ukraine",0,0,"t",10,39,654,24,47,636
"389",2006,"Switzerland","South Korea",2,0,"w",10,39,654,0,27,658
"390",2010,"Switzerland","Honduras",0,0,"t",10,28,808,2,47,633
"391",2014,"Switzerland","France",2,5,"l",14,16,978,15,16,952
"392",2014,"Switzerland","Ecuador",2,1,"w",14,16,978,0,31,780
"393",2018,"Switzerland","Costa Rica",2,2,"t",15,11,1186,2,26,966
"394",2006,"Togo","France",0,2,"l",6,78,513,14,3,882
"395",2006,"Togo","Switzerland",0,2,"l",6,78,513,10,39,654
"396",2006,"Trinidad and Tobago","Sweden",0,0,"t",3,61,543,5,17,723
"397",2002,"Tunisia","Belgium",1,1,"t",2,29,613,3,26,622
"398",2002,"Tunisia","Japan",0,2,"l",2,29,613,1,40,580
"399",2006,"Tunisia","Saudi Arabia",2,2,"t",8,35,652,0,37,618
"400",2018,"Tunisia","England",1,2,"l",9,33,866,10,12,1163
"401",2002,"Türkiye","China",3,0,"w",6,29,613,1,62,510
"402",2006,"Ukraine","Tunisia",1,0,"w",24,47,636,8,35,652
"403",1994,"United States","Switzerland",1,1,"t",12,24,46,4,9,55
"404",1994,"United States","Colombia",2,1,"w",12,24,46,0,19,50
"405",1994,"United States","Romania",0,1,"l",12,24,46,2,12,54
"406",1998,"United States","Iran",1,2,"l",11,21,53,1,70,35
"407",2002,"United States","Portugal",3,2,"w",9,18,653,4,10,704
"408",2006,"United States","Czech Republic",0,3,"l",7,11,749,23,7,813
"409",2010,"United States","Ghana",1,2,"l",12,20,893,3,28,817
"410",2010,"United States","Algeria",1,0,"w",12,20,893,17,61,548
"411",2014,"United States","Portugal",2,2,"t",13,24,845,5,7,1137
"412",2014,"United States","Germany",0,1,"l",13,24,845,17,2,1418
"413",2002,"Uruguay","Denmark",1,2,"l",1,37,585,2,17,663
"414",2010,"Uruguay","Ghana",1,1,"t",1,21,901,3,28,817
"415",2010,"Uruguay","South Korea",2,1,"w",1,21,901,1,47,620
"416",2010,"Uruguay","France",0,0,"t",1,21,901,9,9,1141
"417",2010,"Uruguay","Germany",2,3,"l",1,21,901,23,4,1319
"418",2010,"Uruguay","Netherlands",2,3,"l",1,21,901,12,5,1325
"419",2014,"Uruguay","England",2,1,"w",1,8,1149,9,9,1108
"420",2014,"Uruguay","Costa Rica",1,3,"l",1,8,1149,2,47,642
"421",2018,"Uruguay","Russia",3,0,"w",5,13,1154,17,46,783
"422",2018,"Uruguay","Saudi Arabia",1,0,"w",5,13,1154,0,69,616
"423",2018,"Uruguay","France",0,2,"l",5,13,1154,19,11,1207
"424",2018,"Uruguay","Portugal",2,1,"w",5,13,1154,10,6,1314
