"","home_team","away_team","Year","home_score","away_score","outcome","home_foreign","away_foreign"
"315","Argentina","England",1986,2,1,"w",2,2
"316","Portugal","England",1986,1,0,"w",1,2
"317","Italy","England",1990,2,1,"w",1,3
"318","Germany","England",1990,1,1,"t",0,3
"319","Romania","England",1998,2,1,"w",1,6
"320","Colombia","England",1998,0,2,"l",0,6
"321","Argentina","England",1998,2,2,"t",2,6
"322","Denmark","England",2002,0,3,"l",2,9
"323","Nigeria","England",2002,0,0,"t",1,9
"324","Argentina","England",2002,0,1,"l",1,9
"325","Sweden","England",2006,2,2,"t",5,6
"326","Slovenia","England",2010,0,1,"l",23,3
"327","Germany","England",2010,4,1,"w",23,3
"328","Uruguay","England",2014,2,1,"w",1,9
"329","Costa Rica","England",2014,0,0,"t",2,9
"330","Sweden","England",2018,0,2,"l",6,10
"331","Croatia","England",2018,2,1,"w",15,10
"332","Tunisia","England",2018,1,2,"l",9,10
"333","Colombia","England",2018,1,1,"t",1,10
"334","Belgium","England",2018,2,0,"w",12,10
"336","Chile","France",1930,1,0,"w",0,2
"337","Argentina","France",1930,1,0,"w",2,2
"338","Austria","France",1934,3,2,"w",22,5
"339","Italy","France",1938,3,1,"w",1,14
"340","Yugoslavia","France",1954,1,0,"w",0,9
"341","Yugoslavia","France",1958,3,2,"w",1,5
"342","Brazil","France",1958,5,2,"w",2,5
"343","Uruguay","France",1966,2,1,"w",2,3
"344","England","France",1966,2,0,"w",2,3
"345","Italy","France",1978,2,1,"w",1,6
"346","Argentina","France",1978,2,1,"w",0,6
"347","Austria","France",1982,0,1,"l",1,10
"348","Germany","France",1982,3,3,"t",1,10
"349","Poland","France",1982,3,2,"w",0,10
"350","England","France",1982,3,1,"w",2,10
"351","Canada","France",1986,0,1,"l",12,8
"352","Italy","France",1986,0,2,"l",0,8
"353","Hungary","France",1986,0,3,"l",0,8
"354","Brazil","France",1986,1,1,"t",2,8
"355","Italy","France",1998,0,0,"t",3,12
"356","Brazil","France",1998,0,3,"l",2,12
"357","Denmark","France",2002,2,0,"w",2,12
"358","Portugal","France",2006,0,1,"l",7,14
"359","Togo","France",2006,0,2,"l",6,14
"360","Brazil","France",2006,0,1,"l",1,14
"361","Spain","France",2006,1,3,"l",3,14
"362","Italy","France",2006,1,1,"t",2,14
"363","Uruguay","France",2010,0,0,"t",1,9
"364","Switzerland","France",2014,2,5,"l",14,15
"365","Ecuador","France",2014,0,0,"t",0,15
"366","Denmark","France",2018,0,0,"t",7,19
"367","Uruguay","France",2018,0,2,"l",5,19
"372","Switzerland","Germany",1938,1,1,"t",4,22
"373","Switzerland","Germany",1938,4,2,"w",4,22
"374","Hungary","Germany",1954,8,3,"w",3,22
"375","France","Germany",1958,6,3,"w",5,22
"376","Sweden","Germany",1958,3,1,"w",0,22
"377","Argentina","Germany",1958,1,3,"l",1,22
"378","Yugoslavia","Germany",1962,1,0,"w",2,21
"379","England","Germany",1966,4,2,"w",2,22
"380","Italy","Germany",1970,4,3,"w",1,21
"381","Australia","Germany",1974,0,3,"l",15,7
"382","Australia","Germany",1974,0,3,"l",15,2
"383","Chile","Germany",1974,1,1,"t",0,7
"384","Chile","Germany",1974,1,1,"t",0,2
"385","Germany","Germany",1974,1,0,"w",2,7
"386","Germany","Germany",1974,1,0,"w",2,2
"387","Germany","Germany",1974,1,0,"w",7,7
"388","Germany","Germany",1974,1,0,"w",7,2
"389","Poland","Germany",1974,0,1,"l",1,7
"390","Poland","Germany",1974,0,1,"l",1,2
"391","Yugoslavia","Germany",1974,0,2,"l",0,7
"392","Yugoslavia","Germany",1974,0,2,"l",0,2
"393","Netherlands","Germany",1974,1,2,"l",0,7
"394","Netherlands","Germany",1974,1,2,"l",0,2
"395","Brazil","Germany",1974,1,0,"w",1,7
"396","Brazil","Germany",1974,1,0,"w",1,2
"397","Argentina","Germany",1974,1,1,"t",0,7
"398","Argentina","Germany",1974,1,1,"t",0,2
"399","Austria","Germany",1978,3,2,"w",0,1
"400","Italy","Germany",1982,3,1,"w",2,1
"401","Denmark","Germany",1986,2,0,"w",0,2
"402","Argentina","Germany",1986,3,2,"w",2,2
"403","France","Germany",1986,0,2,"l",8,2
"404","Uruguay","Germany",1986,1,1,"t",0,2
"405","Morocco","Germany",1986,0,1,"l",0,2
"406","Bulgaria","Germany",1994,2,1,"w",0,22
"407","Cameroon","Germany",2002,0,2,"l",3,23
"408","Ecuador","Germany",2006,0,3,"l",2,23
"409","Uruguay","Germany",2010,2,3,"l",1,23
"410","Ghana","Germany",2010,0,1,"l",3,23
"411","Argentina","Germany",2010,0,4,"l",4,23
"412","France","Germany",2014,0,1,"l",15,17
"413","United States","Germany",2014,0,1,"l",13,17
"414","Brazil","Germany",2014,1,7,"l",0,17
"415","South Korea","Germany",2018,2,0,"w",0,16
"418","Czech Republic","Ghana",2006,0,2,"l",23,1
"419","Italy","Ghana",2006,2,0,"w",2,1
"420","Brazil","Ghana",2006,3,0,"w",1,1
"421","Uruguay","Ghana",2010,1,1,"t",1,3
"422","United States","Ghana",2010,1,2,"l",12,3
"423","Serbia","Ghana",2010,0,1,"l",23,3
"424","Portugal","Ghana",2014,2,1,"w",5,5
"425","Germany","Ghana",2014,2,2,"t",17,5
"428","Argentina","Greece",1994,4,0,"w",1,2
"429","Bulgaria","Greece",1994,4,0,"w",0,2
"430","South Korea","Greece",2010,2,0,"w",1,4
"431","Japan","Greece",2014,0,0,"t",1,5
"432","Colombia","Greece",2014,3,0,"w",0,5
"433","Costa Rica","Greece",2014,1,1,"t",2,5
"434","Argentina","Haiti",1974,4,1,"w",0,0
"435","Italy","Haiti",1974,3,1,"w",2,0
"436","Spain","Honduras",1982,1,1,"t",1,0
"437","Switzerland","Honduras",2010,0,0,"t",10,2
"438","Spain","Honduras",2010,2,0,"w",3,2
"439","France","Honduras",2014,3,0,"w",15,0
"440","Austria","Hungary",1934,2,1,"w",22,22
"441","Italy","Hungary",1938,4,2,"w",1,22
"442","Germany","Hungary",1954,3,2,"w",22,3
"443","Wales","Hungary",1958,2,1,"w",0,0
"444","Sweden","Hungary",1958,2,1,"w",0,0
"446","Soviet Union","Hungary",1966,2,1,"w",1,0
"447","Portugal","Hungary",1966,3,1,"w",4,0
"448","Italy","Hungary",1978,3,1,"w",1,0
"449","France","Hungary",1978,3,1,"w",6,0
"450","Argentina","Hungary",1978,2,1,"w",0,0
"451","Belgium","Hungary",1982,1,1,"t",1,0
"452","Argentina","Hungary",1982,4,1,"w",0,0
